PostAuthorKey,CommenterKey,InteractionCount,UniquePostsCommented,WithinWindowCount,MedianDeltaMinutes,MinDeltaMinutes,SelfCommentCount
id:rukk7812,id:ajh30130,4,4,3,0.8416666666666666,0.5166666666666667,0
id:rukk7812,id:sexline,4,4,3,1.5,0.6333333333333333,0
id:snap23,id:donka,4,4,3,3.783333333333333,1.35,0
id:solution78,id:dleoduq1234,4,4,3,2.9,0.8666666666666667,0
id:solution78,id:juventus82,4,4,3,2.05,1.3666666666666667,0
id:solution78,id:okao,4,4,3,1.6833333333333333,1.25,0
id:solution78,id:rainshowerkk,4,4,3,2.8583333333333334,1.2333333333333334,0
id:summernight,id:dleoduq1234,4,4,3,2.283333333333333,0.45,0
id:summernight,id:whoshot,4,4,3,2.941666666666667,1.3833333333333333,0
id:typoonj2,id:dleoduq1234,4,4,3,0.8666666666666667,0.4666666666666667,0
id:whddlqlgodrl,id:spoops,4,4,3,3.4749999999999996,0.7833333333333333,0
id:xxvxx,id:cauking,4,4,3,3.333333333333333,1.7333333333333334,0
id:xxvxx,id:monkjm,4,4,3,2.1916666666666664,1.2833333333333334,0
id:yally1010,id:impactx84,4,4,3,1.3166666666666667,0.6,0
id:yo821281,id:bundes1,4,4,3,2.2583333333333333,1.15,0
id:yo821281,id:dleoduq1234,4,4,3,1.6333333333333333,0.45,0
id:yo821281,id:eddie,4,4,3,2.6833333333333336,1.2166666666666666,0
id:yo821281,id:hoffenheim,4,4,3,1.8250000000000002,1.1833333333333333,0
id:malwool,id:donka,4,3,3,2.2083333333333335,0.5333333333333333,0
id:rukk7812,id:bugfix,4,3,3,3.0999999999999996,1.7666666666666666,0
id:LJM1389,id:LJM1389,4,2,3,1.925,0.5,4
id:6830,id:whoshot,3,3,3,1.7833333333333334,0.6166666666666667,0
id:BlackEyes23,id:donka,3,3,3,0.8666666666666667,0.4166666666666667,0
id:BlackEyes23,id:rukk7812,3,3,3,1.8166666666666667,0.5166666666666667,0
id:Bluewings21,id:pearson19,3,3,3,0.75,0.7166666666666667,0
id:FeelingGood,id:ajh30130,3,3,3,1.2166666666666666,1.1333333333333333,0
id:FeelingGood,id:impactx84,3,3,3,1.4833333333333334,1.1833333333333333,0
id:FeelingGood,id:kokomong,3,3,3,0.55,0.36666666666666664,0
id:FeelingGood,id:mcraky,3,3,3,1.4166666666666667,0.31666666666666665,0
id:FeelingGood,id:yhtuos,3,3,3,1.8166666666666667,0.7833333333333333,0
id:HONG43,id:donka,3,3,3,0.5,0.38333333333333336,0
id:HONG43,id:malwool,3,3,3,2.4166666666666665,0.8666666666666667,0
id:Ibisevic,id:pearson19,3,3,3,1.15,0.7166666666666667,0
id:ManU01,id:donka,3,3,3,1.65,1.0666666666666667,0
id:Mkisduchang,id:donka,3,3,3,1.5833333333333333,1.0166666666666666,0
id:Necovv,id:donka,3,3,3,1.4166666666666667,0.45,0
id:Volvo,id:spoops,3,3,3,1.5666666666666667,1.1333333333333333,0
id:alfatini,id:okao,3,3,3,2.683333333333333,1.65,0
id:asha7270,id:donka,3,3,3,1.1666666666666667,0.6333333333333333,0
id:blue123,id:flypcs20,3,3,3,1.8333333333333333,1.05,0
id:bluepillz,id:donka,3,3,3,0.45,0.2833333333333333,0
id:boba1983,id:KINGBATI,3,3,3,0.7166666666666667,0.4166666666666667,0
id:bugfix,id:impactx84,3,3,3,1.2833333333333334,1.1666666666666667,0
id:bulbol,id:mirissoul2,3,3,3,1.8833333333333333,1.05,0
id:bundes1,id:malwool,3,3,3,2.283333333333333,1.15,0
id:bvbreus11,id:donka,3,3,3,0.4666666666666667,0.43333333333333335,0
id:cydia14,id:todfndl12,3,3,3,3.4,0.4666666666666667,0
id:cydia14,id:whoshot,3,3,3,1.35,0.5833333333333334,0
id:deportivo7,id:progamer77,3,3,3,1.55,0.5666666666666667,0
id:dlawls,id:FeelingGood,3,3,3,0.7166666666666667,0.6166666666666667,0
